i,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,scale.x,scale.y,scale.z,color.x,color.y,color.z
1,4209.451485340412,-4687.09573426858,-2012.3328637245374,0.0,0.0,0.0,556.64599609375,548.86767578125,463.3206787109375,1.0,1.0,1.0
2,3267.0867392466616,1953.1043389736078,281.4603491660875,0.0,0.0,0.0,611.48779296875,659.1317138671875,595.40478515625,1.0,1.0,1.0
3,-2718.070121104901,-4226.71487489358,-851.846947586842,0.0,0.0,0.0,519.0445556640625,551.64208984375,557.4313507080078,1.0,1.0,1.0
4,6178.938790027912,-3144.9546209873297,-653.4653100136001,0.0,0.0,0.0,582.00439453125,619.0830078125,567.7944946289062,1.0,1.0,1.0
5,-5401.321341808026,-3150.3047186435797,-654.4457177284438,0.0,0.0,0.0,524.8902587890625,461.06201171875,580.0451049804688,1.0,1.0,1.0
6,4562.890694324787,2963.693938582983,2221.2660132285873,0.0,0.0,0.0,313.161865234375,250.9830322265625,306.07275390625,1.0,1.0,1.0
7,-6795.736502940838,4121.878692000952,1099.9895850059313,0.0,0.0,0.0,256.51171875,210.00054931640625,235.99591064453125,1.0,1.0,1.0
8,-3395.4376748158384,-1851.2605291904547,1467.9337378379623,0.0,0.0,0.0,181.22216796875,182.311279296875,185.6826171875,1.0,1.0,1.0
9,-7358.113456065838,3070.8339532314203,818.1682349082752,0.0,0.0,0.0,168.51806640625,136.140625,160.236572265625,1.0,1.0,1.0
10,919.2675864146306,3312.150725692358,1787.2166968223376,0.0,0.0,0.0,229.92852783203125,276.4625244140625,254.752685546875,1.0,1.0,1.0
11,-1095.5532830311702,2174.077727645483,1194.6477881309313,0.0,0.0,0.0,200.1594467163086,201.7647705078125,175.05352783203125,1.0,1.0,1.0
12,-5877.303153331463,-426.3069159092047,1105.594321334056,0.0,0.0,0.0,237.371826171875,199.884033203125,217.51849365234375,1.0,1.0,1.0
13,4402.533028309162,-1492.4358221592047,2013.8596411582748,0.0,0.0,0.0,157.21923828125,140.331298828125,136.6190185546875,1.0,1.0,1.0
14,5981.846504871662,-4129.87991395608,-1154.191965973683,0.0,0.0,0.0,592.0166015625,647.13916015625,655.954496383667,1.0,1.0,1.0
15,-7141.251883800213,-1973.6086737217047,1082.8305884238998,0.0,0.0,0.0,232.491455078125,192.200439453125,208.923583984375,1.0,1.0,1.0
16,-8429.026786143962,-984.2212225498297,635.8704748985093,0.0,0.0,0.0,193.034423828125,142.17919921875,196.16482543945312,1.0,1.0,1.0
17,-5758.349295909588,-1433.6799627842047,-809.3207787636001,0.0,0.0,0.0,132.5263671875,168.605712890625,159.8385009765625,1.0,1.0,1.0
18,-7637.473563487713,-1405.1035467685797,818.0224829551499,0.0,0.0,0.0,200.157958984375,198.01025390625,182.486572265625,1.0,1.0,1.0
19,5210.568184559162,-1444.7988592685797,-341.676476395436,0.0,0.0,0.0,479.35595703125,509.84716796875,523.1287689208984,1.0,1.0,1.0
20,4325.591377918537,-3196.8584295810797,-662.9836663368422,0.0,0.0,0.0,631.492431640625,656.98095703125,535.7053375244141,1.0,1.0,1.0
21,251.34915990095874,5073.915892928686,1064.6312476035873,0.0,0.0,0.0,282.2364807128906,271.5057678222656,281.943359375,1.0,1.0,1.0
22,6232.768135731037,4174.290252059545,2012.8045874473376,0.0,0.0,0.0,298.432861328125,263.639404296875,260.312255859375,1.0,1.0,1.0
23,7678.019844715412,3935.414153426733,1603.1771460410876,0.0,0.0,0.0,126.48486328125,136.6507568359375,150.30810546875,1.0,1.0,1.0
24,5966.706856434162,3923.721526473608,1171.99806889265,0.0,0.0,0.0,251.02685546875,282.6717529296875,301.27783203125,1.0,1.0,1.0
25,-2283.8639443470884,4557.104338973608,1059.1446753379623,0.0,0.0,0.0,138.449462890625,172.1947021484375,173.8204345703125,1.0,1.0,1.0
26,-8306.418631847087,3444.3381036220453,723.1826392051502,0.0,0.0,0.0,284.64892578125,256.6220703125,252.263916015625,1.0,1.0,1.0
27,6450.972725574787,-1213.2627264560797,1902.6649390098373,0.0,0.0,0.0,250.235595703125,239.17626953125,198.677001953125,1.0,1.0,1.0
28,-7377.247977550213,806.3293145595453,675.35842045515,0.0,0.0,0.0,235.583251953125,252.354736328125,203.1976318359375,1.0,1.0,1.0
29,-1012.3273842884944,-145.0864569248297,-103.32290736467422,0.0,0.0,0.0,563.2179565429688,541.99658203125,495.1613082885742,1.0,1.0,1.0
30,-2298.4868081166196,54.71578916892031,917.7547827598373,0.0,0.0,0.0,211.99798583984375,185.9482421875,201.3743896484375,1.0,1.0,1.0
31,8583.895821277913,603.1354669032953,1742.3233862754623,0.0,0.0,0.0,267.42236328125,259.445556640625,217.046630859375,1.0,1.0,1.0
32,-4296.244071300213,4124.390532821264,1918.5558081504626,0.0,0.0,0.0,299.799072265625,271.04193115234375,312.457275390625,1.0,1.0,1.0
33,6003.816963856037,2149.1230157314203,2002.4900122520246,0.0,0.0,0.0,192.881103515625,214.8876953125,225.7010498046875,1.0,1.0,1.0
34,-828.9904168202327,3258.065764754858,1460.8793555137438,0.0,0.0,0.0,302.1951675415039,254.9766845703125,317.68426513671875,1.0,1.0,1.0
35,1904.4957968638494,4023.5600274501703,1278.240500533275,0.0,0.0,0.0,273.1019287109375,244.008056640625,293.5726318359375,1.0,1.0,1.0
36,-6971.309989268963,299.4049981532953,967.3748999473373,0.0,0.0,0.0,180.677001953125,209.547119140625,213.038330078125,1.0,1.0,1.0
37,-5398.910819347088,2585.831145614233,1290.0179053184313,0.0,0.0,0.0,314.8818359375,262.8287353515625,280.53790283203125,1.0,1.0,1.0
38,6265.692696277912,267.8210137782953,-27.600983536549247,0.0,0.0,0.0,644.66162109375,603.730712890625,573.6077194213867,1.0,1.0,1.0
