i,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,scale.x,scale.y,scale.z,color.x,color.y,color.z
0,-900.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,-800.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2,-700.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3,-600.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,-500.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
5,-400.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6,-300.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
7,-200.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
8,-100.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
10,100.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
11,200.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
12,300.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
13,400.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
14,500.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
15,600.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
16,700.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
17,800.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
18,900.0,0.0,-450.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
19,-900.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20,-800.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
21,-700.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
22,-600.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
23,-500.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
24,-400.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25,-300.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
26,-200.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
27,-100.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
29,100.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
30,200.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
31,300.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32,400.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
33,500.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
34,600.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
35,700.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
36,800.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
37,900.0,0.0,-350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
38,-900.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
39,-800.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
40,-700.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
41,-600.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
42,-500.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
43,-400.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
44,-300.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
45,-200.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
46,-100.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
47,0.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
48,100.0,0.0,-250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
